param,value,season,windows,carbon_lp,carbon_uniform,carbon_greedy,carbon_fcfs,carbon_oracle,saving_lp_pct,saving_greedy_pct,saving_fcfs_pct,saving_oracle_pct,share_PJM_pct,share_NYISO_pct,share_Finland_pct,share_Belgium_pct,share_Singapore_pct
rho,0.8,MAM,184,15072.2,56404.70833333333,15030.0,84673.0,12456.8,73.27847187697836,73.35328832625527,-50.11690070199519,77.91531883050541,0.0,0.0,95.64761614097478,4.352383859025225,0.0
rho,0.8,JJA,184,9527.0,59838.85833333333,9507.0,99734.0,8741.0,84.07890747692797,84.11233057448874,-66.67096060628386,85.39243521106616,0.0,0.0,100.0,0.0,0.0
rho,0.8,SON,182,11269.0,59781.59166666666,11233.0,86302.0,9598.8,81.14971568031463,81.20993488658925,-44.36216499755849,83.94355230031094,0.0,0.0,99.14810542195404,0.8518945780459667,0.0
rho,1.0,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
rho,1.0,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
rho,1.0,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
rho,1.0,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
rho,1.0,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
eta,0.0,ALL,731,51564.0,238752.25,51564.0,361781.0,44182.0,78.40271662361296,78.40271662361296,-51.52988087023264,81.49462465798752,0.0,0.0,95.63261189977503,4.367388100224963,0.0
eta,0.0,DJF,181,15794.0,62727.091666666674,15794.0,91072.0,13434.0,74.82108674202574,74.82108674202574,-45.187665457150274,78.58341644247017,0.0,0.0,90.48372799797392,9.516272002026085,0.0
eta,0.0,MAM,184,15030.0,56404.70833333333,15030.0,84673.0,12433.0,73.35328832625527,73.35328832625527,-50.11690070199519,77.9575138895763,0.0,0.0,95.8150365934797,4.184963406520293,0.0
eta,0.0,JJA,184,9507.0,59838.85833333333,9507.0,99734.0,8726.0,84.11233057448874,84.11233057448874,-66.67096060628386,85.41750253423675,0.0,0.0,100.0,0.0,0.0
eta,0.0,SON,182,11233.0,59781.59166666666,11233.0,86302.0,9589.0,81.20993488658925,81.20993488658925,-44.36216499755849,83.95994530646348,0.0,0.0,98.93171904210809,1.0682809578919257,0.0
eta,0.1,ALL,731,51655.6563745708,238752.25,51564.0,361781.0,44329.91314710428,78.36432688086884,78.40271662361296,-51.52988087023264,81.43267209121412,0.0,0.0,93.36117585571209,6.638824144287901,0.0
eta,0.1,DJF,181,15831.559537876612,62727.091666666674,15794.0,91072.0,13472.875123533931,74.76120904503924,74.82108674202574,-45.187665457150274,78.52144142896164,0.0,0.0,88.16743376130108,11.832566238698911,0.0
